	NA	NA	Sp_ds	Sp_hs	Sp_log	Sp_plat	NA	NA
c4865_g1_i1	O94298	GO:0000170	113.98	63.41	108.45	515.14	sphingosine hydroxylase activity	Full=Sphingolipid C4-hydroxylase sur2; AltName: Full=Syringomycin response protein 2 [Schizosaccharomyces pombe 972h-]
c3987_g1_i1	G2TRR9	GO:0003674	9.48	0.00	1.66	210.69	molecular_function	Full=Uncharacterized protein PB21E7.11 [Schizosaccharomyces pombe 972h-]
c6448_g1_i1	O14088	GO:0005634	297.36	1151.15	8.80	114.86	nucleus	Full=Uncharacterized oxidoreductase C2F3.05c [Schizosaccharomyces pombe 972h-]
c3112_g1_i3	O14059	GO:0000105	2.26	0.00	0.00	15.87	histidine biosynthetic process	Full=Probable histidinol-phosphatase; Short=HolPase [Schizosaccharomyces pombe 972h-]
c4384_g1_i1	P32586	GO:0004721	170.12	192.72	5.49	55.97	phosphoprotein phosphatase activity	Full=Tyrosine-protein phosphatase 2; AltName: Full=Protein-tyrosine phosphatase 2; Short=PTPase 2 [Schizosaccharomyces pombe 972h-]
c4474_g1_i1	Q9URW3	GO:0005575	67.70	15.09	4.71	237.69	cellular_component	Full=Protein yippee-like PJ691.02 [Schizosaccharomyces pombe 972h-]
c1718_g1_i1	Q10202	GO:0000027	8.62	34.88	252.35	19.82	ribosomal large subunit assembly	Full=ATP-dependent RNA helicase dbp3 [Schizosaccharomyces pombe 972h-]
c2142_g1_i1	Q9USZ7	GO:0003779	0.00	16.35	5.17	27.79	actin binding	Full=Actin cytoskeleton-regulatory complex protein end3; AltName: Full=Endocytosis protein 3 [Schizosaccharomyces pombe 972h-]
c4048_g1_i1	O13801	GO:0000166	18.61	26.82	133.78	15.40	nucleotide binding	Full=Uncharacterized RNA-binding protein C17H9.04c [Schizosaccharomyces pombe 972h-]
c4716_g2_i3	Q10265	GO:0000166	1493.30	6656.33	22.73	525.74	nucleotide binding	Full=Probable heat shock protein ssa1 [Schizosaccharomyces pombe 972h-]
c5275_g1_i1	P17610	GO:0000139	5.04	0.00	0.00	143.70	Golgi membrane	Full=GTP-binding protein ypt3; AltName: Full=RAB [Schizosaccharomyces pombe 972h-]
c3817_g1_i1	O74775	GO:0000329	121.84	138.16	35.03	409.98	fungal-type vacuole membrane	Full=Protein sip5 [Schizosaccharomyces pombe 972h-]
c4419_g1_i2	Q9UT29	GO:0005783	71.83	0.00	53.68	67.31	endoplasmic reticulum	Full=Uncharacterized protein C8F11.08c [Schizosaccharomyces pombe 972h-]
c1182_g1_i1	Q09817	GO:0000027	9.64	51.58	107.70	19.05	ribosomal large subunit assembly	Full=60S ribosomal export protein nmd3 [Schizosaccharomyces pombe 972h-]
c4851_g1_i1	O13702	GO:0005739	2740.62	301.18	16.77	1178.36	mitochondrion	Full=Glycerol dehydrogenase 1; Short=GDH; Short=GLDH [Schizosaccharomyces pombe 972h-]
c923_g1_i1	Q09799	GO:0003674	6.89	48.52	93.63	12.46	molecular_function	Full=Protein kri1 [Schizosaccharomyces pombe 972h-]
c4753_g2_i1	O42885	GO:0005215	17.66	6.48	250.23	57.65	transporter activity	Full=Putative inorganic phosphate transporter C8E4.01c [Schizosaccharomyces pombe 972h-]
c3180_g1_i1	Q9URX4	GO:0003824	10.13	43.56	2.26	10.93	catalytic activity	Full=Uncharacterized family 31 glucosidase C1039.11c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1131_g1_i1	Q10108	GO:0003674	144.69	162.91	44.37	370.06	molecular_function	Full=Uncharacterized protein C18G6.09c [Schizosaccharomyces pombe 972h-]
c4752_g1_i2	O74306	GO:0002181	592.32	1584.65	1847.99	172.91	cytoplasmic translation	Full=60S ribosomal protein L5-B [Schizosaccharomyces pombe 972h-]
c409_g1_i1	O74876	GO:0003674	0.00	172.63	2.49	0.00	molecular_function	Full=Meiotically up-regulated gene 135 protein [Schizosaccharomyces pombe 972h-]
c4741_g1_i1	Q9P7T9	GO:0005215	27.23	0.00	12.87	13.85	transporter activity	Full=Uncharacterized membrane protein C977.17 [Schizosaccharomyces pombe 972h-]
c5501_g1_i1	O60103	GO:0005783	0.00	120.50	0.00	0.00	endoplasmic reticulum	Full=ERAD-associated E3 ubiquitin-protein ligase doa10 [Schizosaccharomyces pombe 972h-]
c4395_g1_i1	O74333	GO:0000139	64.32	38.62	0.00	17.46	Golgi membrane	Full=Non-classical export protein 2 homolog [Schizosaccharomyces pombe 972h-]
c4425_g1_i4	P79081	GO:0004145	87.63	232.67	101.82	18.53	diamine N-acetyltransferase activity	Full=N-acetyltransferase ats1 [Schizosaccharomyces pombe 972h-]
c824_g1_i1	Q9P380	GO:0000324	121.42	17.29	274.54	35.86	fungal-type vacuole	Full=Probable peptide transporter ptr2; AltName: Full=Peptide permease ptr2 [Schizosaccharomyces pombe 972h-]
c2827_g1_i1	O42873	GO:0000287	220.63	11.07	5.10	579.46	magnesium ion binding	Full=Putative pyruvate decarboxylase C3G9.11c [Schizosaccharomyces pombe 972h-]
c4649_g1_i1	Q9HDY5	GO:0003674	23.62	551.53	19.99	26.39	molecular_function	Full=Uncharacterized protein PB1A10.05 [Schizosaccharomyces pombe 972h-]
c2721_g4_i1	P87229	GO:0003674	16.32	18.00	1.09	41.29	molecular_function	Full=Uncharacterized protein C4G3.03 [Schizosaccharomyces pombe 972h-]
c3073_g1_i1	O74780	GO:0003674	44.50	1.23	12.25	79.36	molecular_function	Full=Uncharacterized protein C25B2.08 [Schizosaccharomyces pombe 972h-]
c4392_g1_i1	Q09918	GO:0003674	13.28	3.11	3.33	73.50	molecular_function	Full=Putative glutathione-independent glyoxalase hsp3105; AltName: Full=Glyoxalase 3 homolog 5; AltName: Full=Heat shock protein 31 homolog 5 [Schizosaccharomyces pombe 972h-]
c4477_g1_i2	Q9Y819	GO:0000139	0.00	0.00	0.00	15.28	Golgi membrane	Full=Transmembrane 9 superfamily protein C1105.08; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1844_g1_i1	Q8TGM7	GO:0003674	1172.28	4467.16	497.72	3369.76	molecular_function	Full=Putative uncharacterized protein ART2; AltName: Full=Antisense to ribosomal RNA transcript protein 2 [Saccharomyces cerevisiae S288c]
c4741_g1_i2	Q9P7T9	GO:0005215	6.52	2.18	0.00	366.75	transporter activity	Full=Uncharacterized membrane protein C977.17 [Schizosaccharomyces pombe 972h-]
c5066_g1_i1	P36604	GO:0000166	350.67	1862.20	606.22	64.62	nucleotide binding	Full=78 kDa glucose-regulated protein homolog; Short=GRP-78; AltName: Full=Immunoglobulin heavy chain-binding protein homolog; Short=BiP; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1223_g1_i1	Q10092	GO:0005737	60.59	759.90	64.03	18.80	cytoplasm	Full=Probable glutathione-independent glyoxalase hsp3104; AltName: Full=Glyoxalase 3 homolog 4; AltName: Full=Heat shock protein 31 homolog 4 [Schizosaccharomyces pombe 972h-]
c466_g1_i1	Q9P7G0	GO:0000054	11.30	24.52	122.79	17.80	ribosomal subunit export from nucleus	Full=Uncharacterized NOC2 family protein C1142.04 [Schizosaccharomyces pombe 972h-]
c4491_g1_i1	NA	NA	249.96	1037.83	654.60	56.87	NA	NA
c6376_g1_i1	O14082	GO:0005634	470.80	194.48	20.78	0.00	nucleus	Full=Uncharacterized protein UNK4.17 [Schizosaccharomyces pombe 972h-]
c4453_g1_i1	O59868	GO:0000166	0.03	41.36	5.00	22.21	nucleotide binding	Full=Calcium-transporting ATPase 1; AltName: Full=Golgi Ca(2+)-ATPase [Schizosaccharomyces pombe 972h-]
c4515_g3_i2	O94421	GO:0000122	0.00	5.95	4.26	23.07	negative regulation of transcription from RNA polymerase II promoter	Full=SWI/SNF chromatin-remodeling complex subunit snf22; AltName: Full=ATP-dependent helicase snf22; AltName: Full=SWI/SNF complex subunit snf22 [Schizosaccharomyces pombe 972h-]
c3910_g4_i1	Q9P768	GO:0000139	158.39	7.64	25.17	379.50	Golgi membrane	Full=Uncharacterized amino-acid permease P7G5.06 [Schizosaccharomyces pombe 972h-]
c3928_g2_i1	O13791	GO:0003674	214.07	1685.05	82.76	154.48	molecular_function	Full=Protein slt1 [Schizosaccharomyces pombe 972h-]
c4605_g1_i1	NA	NA	1459.10	6902.64	404.54	4290.48	NA	NA
c3054_g1_i1	Q92341	GO:0005737	0.00	3.52	82.79	2.56	cytoplasm	Full=Siderophore iron transporter 3 [Schizosaccharomyces pombe 972h-]
c447_g1_i1	Q09816	GO:0003824	42.47	151.26	236.46	22.14	catalytic activity	Full=S-methyl-5'-thioadenosine phosphorylase; AltName: Full=5'-methylthioadenosine phosphorylase; Short=MTA phosphorylase; Short=MTAP; Short=MTAPase [Schizosaccharomyces pombe 972h-]
c2355_g1_i1	Q9URU9	GO:0003674	44.16	29.83	7.97	91.15	molecular_function	Full=Protein fyv10 [Schizosaccharomyces pombe 972h-]
c3757_g1_i1	O14091	GO:0000017	125.12	271.18	24.34	66.53	alpha-glucoside transport	Full=General alpha-glucoside permease [Schizosaccharomyces pombe 972h-]
c3768_g1_i1	O42991	GO:0002181	360.47	928.51	995.32	115.37	cytoplasmic translation	Full=60S ribosomal protein L16-B [Schizosaccharomyces pombe 972h-]
c1235_g1_i1	O13844	GO:0005371	6.56	73.88	125.05	15.64	tricarboxylate secondary active transmembrane transporter activity	Full=Uncharacterized mitochondrial carrier C19G12.05 [Schizosaccharomyces pombe 972h-]
c8_g1_i1	C6Y4D4	GO:0003674	61.02	12.27	23.32	996.96	molecular_function	Full=Uncharacterized protein C569.09 [Schizosaccharomyces pombe 972h-]
c4760_g1_i1	O59824	GO:0000166	43.11	8.26	0.00	11.02	nucleotide binding	Full=ATP-dependent zinc metalloprotease YME1 homolog [Schizosaccharomyces pombe 972h-]
c1157_g1_i1	O42634	GO:0000150	40.70	199.01	22.14	14.10	recombinase activity	Full=Meiotic recombination protein dmc1 [Schizosaccharomyces pombe 972h-]
c870_g1_i1	Q9C1X5	GO:0005634	195.91	78.41	23.33	191.43	nucleus	Full=Uncharacterized oxidoreductase P32A8.02 [Schizosaccharomyces pombe 972h-]
c2544_g1_i1	O14014	GO:0000935	57.57	5.94	6.16	77.26	barrier septum	Full=Probable Rho-type GTPase-activating protein 3 [Schizosaccharomyces pombe 972h-]
c6270_g1_i1	Q9USX0	GO:0005783	0.00	0.00	0.00	48.36	endoplasmic reticulum	Full=Beta-1,3-galactosyltransferase pvg3; AltName: Full=Meiotically up-regulated gene 49 protein; AltName: Full=Pyruvylated Gal-beta-1,3-epitope synthesis protein 3; Short=PvGal synthesis protein 3 [Schizosaccharomyces pombe 972h-]
c1214_g1_i1	O14017	GO:0003674	10.57	13.27	23.91	0.00	molecular_function	Full=Uncharacterized protein C29A4.14c [Schizosaccharomyces pombe 972h-]
c5093_g1_i1	Q9P6J3	GO:0000023	92.91	13.06	9.43	82.06	maltose metabolic process	Full=Alpha-glucosidase; AltName: Full=Maltase [Schizosaccharomyces pombe 972h-]
c3920_g1_i1	O42973	GO:0003674	51.84	139.70	8.88	112.41	molecular_function	Full=Uncharacterized protein C20F10.03 [Schizosaccharomyces pombe 972h-]
c6237_g1_i1	O14463	GO:0003756	987.51	5190.95	806.88	250.29	protein disulfide isomerase activity	Full=Thioredoxin-1; Short=TR-1; Short=Trx-1 [Schizosaccharomyces pombe 972h-]
c4807_g1_i1	O74770	GO:0003824	500.48	328.06	14.52	39.79	catalytic activity	Full=Probable phosphoketolase [Schizosaccharomyces pombe 972h-]
c4412_g1_i1	P41390	GO:0004044	14.03	9.94	0.00	37.59	amidophosphoribosyltransferase activity	Full=Amidophosphoribosyltransferase; Short=ATase; AltName: Full=Glutamine phosphoribosylpyrophosphate amidotransferase [Schizosaccharomyces pombe 972h-]
c6209_g1_i1	Q9URZ0	GO:0003824	33.35	4.17	0.74	68.17	catalytic activity	Full=Alpha-galactosidase mel1; AltName: Full=Alpha-D-galactoside galactohydrolase; AltName: Full=Melibiase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c267_g1_i1	Q9UTK0	GO:0003723	7.71	46.65	95.87	14.18	RNA binding	Full=20S-pre-rRNA D-site endonuclease nob1; AltName: Full=Pre-rRNA-processing endonuclease nob1 [Schizosaccharomyces pombe 972h-]
c4430_g2_i1	Q92354	GO:0002181	395.39	941.17	1593.85	40.78	cytoplasmic translation	Full=60S ribosomal protein L24-A [Schizosaccharomyces pombe 972h-]
c4676_g2_i2	O74521	GO:0005737	45.32	36.92	5.09	137.62	cytoplasm	Full=Uncharacterized protein C663.15c [Schizosaccharomyces pombe 972h-]
c6222_g1_i1	O13741	GO:0000166	9.32	106.78	116.82	11.56	nucleotide binding	Full=Nucleolar protein 12 [Schizosaccharomyces pombe 972h-]
c6061_g1_i1	O42914	GO:0005737	1059.64	1567.39	2337.59	192.46	cytoplasm	Full=Uncharacterized protein C16A3.08c [Schizosaccharomyces pombe 972h-]
c3149_g1_i1	Q92383	GO:0000725	18.41	30.49	3.26	57.56	recombinational repair	Full=DNA-3-methyladenine glycosylase 1; AltName: Full=3-methyladenine DNA glycosidase 1; AltName: Full=3MEA DNA glycosylase 1 [Schizosaccharomyces pombe 972h-]
c4502_g1_i2	O14112	GO:0000054	412.56	1232.47	1761.92	168.36	ribosomal subunit export from nucleus	Full=40S ribosomal protein S10-A [Schizosaccharomyces pombe 972h-]
c1965_g1_i1	P87115	GO:0000166	11.49	46.21	109.92	9.65	nucleotide binding	Full=UPF0202 protein C20G8.09c [Schizosaccharomyces pombe 972h-]
c1859_g1_i1	Q96WU9	GO:0003674	489.05	128.59	5.00	838.69	molecular_function	Full=Uncharacterized protein PB16A4.06c [Schizosaccharomyces pombe 972h-]
c2253_g1_i1	Q9UUI7	GO:0003824	546.50	456.85	14.98	126.57	catalytic activity	Full=Putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 100 kDa subunit; AltName: Full=Trehalose-6-phosphate synthase; AltName: Full=UDP-glucose-glucosephosphate glucosyltransferase [Schizosaccharomyces pombe 972h-]
c5059_g1_i1	NA	NA	430.65	1062.94	38.68	591.12	NA	NA
c3421_g1_i1	Q7Z995	GO:0003674	33.78	14.07	0.00	71.48	molecular_function	Full=Uncharacterized protein C19G7.18c [Schizosaccharomyces pombe 972h-]
c948_g1_i1	O14034	GO:0005634	46.92	24.01	10.69	658.08	nucleus	Full=Uncharacterized lyase C29B12.13 [Schizosaccharomyces pombe 972h-]
c2153_g1_i1	O43012	GO:0003824	0.00	18.87	22.68	0.00	catalytic activity	Full=Deoxycytidylate deaminase; AltName: Full=dCMP deaminase [Schizosaccharomyces pombe 972h-]
c6134_g1_i1	Q9HDX3	GO:0005575	168.07	3.38	2.41	2637.38	cellular_component	Full=AB hydrolase superfamily protein B1A11.02 [Schizosaccharomyces pombe 972h-]
c4730_g1_i3	Q9P4W9	GO:0002181	481.31	862.76	1497.02	130.68	cytoplasmic translation	Full=40S ribosomal protein S4-C [Schizosaccharomyces pombe 972h-]
c4501_g1_i1	O60144	GO:0002181	814.52	2415.67	2300.68	250.33	cytoplasmic translation	Full=40S ribosomal protein S16 [Schizosaccharomyces pombe 972h-]
c5242_g1_i1	Q10211	GO:0003824	291.43	117.69	2.88	274.33	catalytic activity	Full=Uncharacterized protein C4H3.03c [Schizosaccharomyces pombe 972h-]
c4586_g1_i1	O94338	GO:0005634	144.94	34.59	18.11	270.59	nucleus	Full=AN1-type zinc finger protein C1271.05c [Schizosaccharomyces pombe 972h-]
c5219_g1_i1	Q9UTM8	GO:0005737	1393.40	44.17	8.04	130.41	cytoplasm	Full=Putative succinate-semialdehyde dehydrogenase C139.05 [NADP(+)]; Short=SSDH [Schizosaccharomyces pombe 972h-]
c2442_g1_i2	O94695	GO:0005783	0.03	43.16	0.00	0.00	endoplasmic reticulum	Full=Putative transporter C83.11 [Schizosaccharomyces pombe 972h-]
c5072_g1_i1	O74766	GO:0003842	101.86	472.24	833.38	56.12	1-pyrroline-5-carboxylate dehydrogenase activity	Full=Probable delta-1-pyrroline-5-carboxylate dehydrogenase; Short=P5C dehydrogenase; AltName: Full=L-glutamate gamma-semialdehyde dehydrogenase [Schizosaccharomyces pombe 972h-]
c2245_g1_i1	Q10342	GO:0000055	6.85	21.56	57.83	4.53	ribosomal large subunit export from nucleus	Full=Protein sda1 [Schizosaccharomyces pombe 972h-]
c3172_g2_i1	Q9UT56	GO:0002181	227.31	1054.67	1278.23	38.96	cytoplasmic translation	Full=40S ribosomal protein S26-A [Schizosaccharomyces pombe 972h-]
c5195_g1_i1	Q09676	GO:0003824	31.08	56.87	630.78	131.27	catalytic activity	Full=Probable phosphatase SPAC5H10.03 [Schizosaccharomyces pombe 972h-]
c5878_g1_i1	NA	NA	589.04	23.19	2.07	917.58	NA	NA
c6537_g1_i1	O74382	GO:0000287	2.18	0.00	7.84	50.53	magnesium ion binding	Full=Probable phosphoserine phosphatase; Short=PSP; Short=PSPase; AltName: Full=O-phosphoserine phosphohydrolase [Schizosaccharomyces pombe 972h-]
c6208_g1_i1	Q09741	GO:0003824	194.41	683.76	773.81	54.45	catalytic activity	Full=Spermidine synthase; Short=SPDSY; AltName: Full=Putrescine aminopropyltransferase [Schizosaccharomyces pombe 972h-]
c4225_g2_i2	Q9UT79	GO:0000118	24.92	0.00	16.32	0.00	histone deacetylase complex	Full=Multicopy suppressor of chk1 protein 1 [Schizosaccharomyces pombe 972h-]
c4702_g1_i3	O14277	GO:0002181	460.83	1064.27	1722.05	230.43	cytoplasmic translation	Full=40S ribosomal protein S5-A [Schizosaccharomyces pombe 972h-]
c6496_g1_i1	Q8WZK4	GO:0003674	8.32	103.13	0.19	3.67	molecular_function	Full=Defective in cullin neddylation protein 1 [Schizosaccharomyces pombe 972h-]
c4518_g1_i1	O42662	GO:0005634	8.15	5.23	0.00	27.76	nucleus	Full=Putative methyltransferase-like protein C27D7.08c [Schizosaccharomyces pombe 972h-]
c3457_g1_i1	Q9US41	GO:0000166	13.90	37.48	2.32	144.94	nucleotide binding	Full=Uracil-regulated protein 1 [Schizosaccharomyces pombe 972h-]
c1393_g1_i1	NA	NA	223.38	991.51	512.12	107.86	NA	NA
c5103_g1_i1	Q09864	GO:0000166	0.00	23.80	12.27	39.51	nucleotide binding	Full=Heat shock protein 60, mitochondrial; Short=HSP60; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1593_g2_i1	NA	NA	0.00	126.80	0.00	0.00	NA	NA
c998_g1_i1	P57728	GO:0002181	162.85	343.78	436.35	11.89	cytoplasmic translation	Full=60S ribosomal protein L28-B [Schizosaccharomyces pombe 972h-]
c5963_g1_i1	Q9URX9	GO:0003676	5.63	22.79	80.50	20.86	nucleic acid binding	Full=Protein pxr1; AltName: Full=PinX1-related protein 1 [Schizosaccharomyces pombe 972h-]
c2316_g2_i1	NA	NA	54.09	2.48	13.56	15.62	NA	NA
c6128_g1_i1	O74538	GO:0002181	505.64	1931.57	1847.00	102.13	cytoplasmic translation	Full=60S ribosomal protein L27-B [Schizosaccharomyces pombe 972h-]
c3837_g1_i1	Q10487	GO:0000296	9.97	27.61	0.00	18.75	spermine transport	Full=Transporter mfs1 [Schizosaccharomyces pombe 972h-]
c4469_g2_i1	NA	NA	15.02	80.03	7.53	116.50	NA	NA
c4327_g2_i1	O60100	GO:0005634	8.54	24.04	63.63	3.74	nucleus	Full=Probable importin subunit beta-4; AltName: Full=Importin-123; AltName: Full=Karyopherin subunit beta-4; AltName: Full=Karyopherin-123 [Schizosaccharomyces pombe 972h-]
c2191_g1_i1	NA	NA	2.10	2.50	0.00	206.95	NA	NA
c6064_g1_i1	Q10212	GO:0003674	58.56	12.77	2.48	87.65	molecular_function	Full=MEMO1 family protein C4H3.04c [Schizosaccharomyces pombe 972h-]
c6147_g1_i1	NA	NA	4.31	6.07	1.44	55.82	NA	NA
c3904_g1_i1	O94426	GO:0003674	532.21	619.21	88.42	59.22	molecular_function	Full=WW domain-containing protein C660.06 [Schizosaccharomyces pombe 972h-]
c4685_g1_i1	P36624	GO:0003939	203.12	57.36	14.07	123.58	L-iditol 2-dehydrogenase activity	Full=Putative sorbitol dehydrogenase; AltName: Full=L-iditol 2-dehydrogenase; AltName: Full=Protein tms1 [Schizosaccharomyces pombe 972h-]
c4381_g1_i1	O59759	GO:0004721	38.52	0.00	15.64	108.19	phosphoprotein phosphatase activity	Full=Uncharacterized protein C1020.05; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4834_g1_i1	Q9P6M1	GO:0004364	590.63	268.07	44.95	354.10	glutathione transferase activity	Full=Glutathione S-transferase 3; AltName: Full=GST-III [Schizosaccharomyces pombe 972h-]
c743_g1_i1	P25457	GO:0002181	325.25	1165.18	1580.30	172.65	cytoplasmic translation	Full=60S ribosomal protein L7-B [Schizosaccharomyces pombe 972h-]
c4365_g1_i2	O74401	GO:0003756	44.56	202.28	17.56	28.61	protein disulfide isomerase activity	Full=ERO1-like protein 1; AltName: Full=Endoplasmic reticulum oxidoreductin-1-like protein A; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1344_g1_i1	O14169	GO:0005739	245.72	149.60	29.08	516.98	mitochondrion	Full=Phosphatidylglycerol phospholipase C [Schizosaccharomyces pombe 972h-]
c5499_g1_i1	NA	NA	134.61	17.65	13.72	331.51	NA	NA
c3970_g1_i2	Q9P7S1	GO:0003824	10.07	21.83	0.00	0.13	catalytic activity	Full=PDZ domain-containing protein C23G3.12c [Schizosaccharomyces pombe 972h-]
c2718_g1_i1	Q9UT45	GO:0007049	2.77	11.27	117.10	3.15	cell cycle	Full=Endo-1,3(4)-beta-glucanase 1; Short=Endo-1,3-beta-glucanase 1; Short=Endo-1,4-beta-glucanase 1; AltName: Full=Laminarinase-1; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c2529_g1_i1	O94723	GO:0000002	655.44	141.99	34.17	1157.41	mitochondrial genome maintenance	Full=54S ribosomal protein L20, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c712_g1_i1	NA	NA	169.92	1267.58	385.45	86.12	NA	NA
c2953_g1_i2	P79057	GO:0002181	442.51	1666.69	1709.06	123.91	cytoplasmic translation	Full=40S ribosomal protein S23 [Schizosaccharomyces pombe 972h-]
c1948_g1_i2	P87143	GO:0000166	16.22	17.10	0.00	25.22	nucleotide binding	Full=Uncharacterized RNA-binding protein C57A7.13 [Schizosaccharomyces pombe 972h-]
c4517_g1_i1	Q9UTL8	GO:0005634	0.00	0.00	12.05	0.00	nucleus	Full=AP-3 complex subunit delta; AltName: Full=Adaptor-related protein complex 3 subunit delta; AltName: Full=Delta-adaptin 3; Short=Delta-adaptin [Schizosaccharomyces pombe 972h-]
c1381_g1_i1	NA	NA	153.69	355.05	490.04	56.30	NA	NA
c2826_g1_i2	NA	NA	3.02	89.71	2.60	0.00	NA	NA
c6126_g1_i1	Q11004	GO:0000413	365.36	2400.00	474.43	26.93	protein peptidyl-prolyl isomerization	Full=40 kDa peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Cyclophilin-40; Short=CYP-40; AltName: Full=Rotamase [Schizosaccharomyces pombe 972h-]
c3987_g1_i2	G2TRR9	GO:0003674	57.96	25.97	0.00	324.59	molecular_function	Full=Uncharacterized protein PB21E7.11 [Schizosaccharomyces pombe 972h-]
c3660_g2_i1	Q92365	GO:0002181	582.40	2148.51	2358.76	281.78	cytoplasmic translation	Full=60S ribosomal protein L36-A [Schizosaccharomyces pombe 972h-]
c6130_g1_i1	O43090	GO:0005739	695.83	182.61	80.38	1575.00	mitochondrion	Full=Probable NADH-ubiquinone oxidoreductase C947.15c, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c5918_g1_i1	Q9C0Y7	GO:0003674	411.87	3095.41	213.39	1531.79	molecular_function	Full=Uncharacterized protein PB24D3.07c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4596_g1_i3	O94590	GO:0000149	0.00	0.00	0.00	26.01	SNARE binding	Full=Protein transport protein sec1 [Schizosaccharomyces pombe 972h-]
c5973_g1_i1	Q9USG6	GO:0002181	670.13	2760.32	2447.34	175.58	cytoplasmic translation	Full=60S ribosomal protein L33-B; AltName: Full=L37B [Schizosaccharomyces pombe 972h-]
c6083_g1_i1	Q9HDX2	GO:0003824	75.56	1.82	11.24	174.22	catalytic activity	Full=Uncharacterized lactate 2-monooxygenase PB1A11.03 [Schizosaccharomyces pombe 972h-]
c6161_g1_i1	Q9P7C0	GO:0005634	11.15	56.49	117.43	17.09	nucleus	Full=Uncharacterized WD repeat-containing protein C2E1P5.05 [Schizosaccharomyces pombe 972h-]
c1879_g1_i1	Q9US43	GO:0000166	21.47	46.05	5.13	79.41	nucleotide binding	Full=Putative uracil phosphoribosyltransferase urg2; Short=UPRTase urg2; AltName: Full=UMP pyrophosphorylase urg2 [Schizosaccharomyces pombe 972h-]
c5925_g1_i1	O43030	GO:0000774	189.06	4286.38	195.05	57.96	adenyl-nucleotide exchange factor activity	Full=Hsp70 nucleotide exchange factor fes1 [Schizosaccharomyces pombe 972h-]
c2195_g1_i1	Q9P7G6	GO:0000790	40.65	38.37	135.73	10.64	nuclear chromatin	Full=Transcription factor P14E8.02 [Schizosaccharomyces pombe 972h-]
c231_g1_i2	O13788	GO:0000122	0.00	34.96	0.00	3.75	negative regulation of transcription from RNA polymerase II promoter	Full=SWI/SNF and RSC complexes subunit ssr1 [Schizosaccharomyces pombe 972h-]
